displayName,parentRunId,status,createdTime,favorite,duration,createdBy,computeTarget,runType,tags
"mslearn-bike-automl","null","Completed","""2024-03-11T22:33:15.962Z""",false,"624.73s","Tailan Ferreira","Serverless","automl","{""pipeline_id_000"":""b76be6b5846772ee1128c4d415381c1e9fed455e;faf12f74cf9bbd358ca5525682c5030d36f7be7c;__AutoML_Ensemble__"",""score_000"":""0.10144507187537125;0.09357675586470318;0.09106512360816285"",""predicted_cost_000"":""0.5;0;0"",""fit_time_000"":""0.025735;0.07451200000000001;2"",""training_percent_000"":""100;100;100"",""iteration_000"":""1;0;2"",""run_preprocessor_000"":""MaxAbsScaler;MaxAbsScaler;"",""run_algorithm_000"":""RandomForest;LightGBM;VotingEnsemble""}"
"icy_chayote_jwn0xzdygf","null","Completed","""2024-03-11T23:00:44.366Z""",false,"557.219s","Tailan Ferreira","Serverless","automl","{""pipeline_id_000"":""faf12f74cf9bbd358ca5525682c5030d36f7be7c;b76be6b5846772ee1128c4d415381c1e9fed455e;__AutoML_Ensemble__"",""score_000"":""0.09357675586470318;0.1053227637174838;0.09009594399699336"",""predicted_cost_000"":""0;0.5;0"",""fit_time_000"":""0.080493;0.024842;1"",""training_percent_000"":""100;100;100"",""iteration_000"":""0;1;2"",""run_preprocessor_000"":""MaxAbsScaler;MaxAbsScaler;"",""run_algorithm_000"":""LightGBM;RandomForest;VotingEnsemble""}"
